indice,estrelas,comentario
2687,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Insightful course though I wish the course would be longer and more spelled out, since sequence models are quite complicated and harder to understand. Instructions on programming exercises are also sometimes pretty unclear, especially in later weeks. Still, overall a great course."
2688,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This is my third course in Deep Learning, the contents and pace of learning are great, they provide a good level of understanding in the subject. The notebooks have bugs and I wasted a lot of times making them work, thus they could be improved to use that time actually learning."
2689,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The concepts presented in this course were advanced enough. Yet, the assignments did not require much effort and thinking, which in my opinion is hurting the learning process. If students do not struggle enough with the course, they tend to forget the material they have learned."
2690,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Very interesting courses. I take this as a basis for future applications. I only regret that the exercises are too guided. I can't pretend to be able to accomplish a project in machine learning :-(
2691,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great content, assignments are fun and reasonably instructive (although they contain the occasional error and the video editing for the lecture content seems a bit rushed at times). I would recommend this course as an introduction to recurrent neural networks and related ideas."
2692,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Course is about recurrent neural networks, natural language processing and basics of speech recognition. Valuable content and great delivery by the author expect the final week where it's difficult to understand the transformers network and the related programming assignment."
2693,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Very informative and well taught course on sequence models. The amount of content and pacing was just right as not to be overwhelmingly complicated. There are a few bugs here and there in the programming exercise which can lead to a lot of headaches but overall a good course!
2694,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great course, with interesting programming assignments, but still, I couldn't catch intuition about GRU and LSTM nature (I understood its pupuse and equations but couldn't get why exactly THAT combination of equations is necessary to allow RNN learn long term dependencies)."
2695,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Week 3: quite a complected network was used for trigger word detection; however, it is not clear why exactly this architecture was used; specific order of dropout, batchnorm and GRU seems to be a pure magic; at least, a few words why this combination is picked are needed."
2696,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"very good hands-on course. Yet I wished in the programming assignments, it was stated clearer, whether the implemented code is for understanding purposes only (and hence being the reason to be implemented) or is still mandatory even when working within a library (keras). "
2697,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Guys, just the truth: Content: Great. Mr. Ng: Great. Autograder: Complete and utter BS. If you rework the Infrastructure you will be big. If you further refuse to do so (literally thousands of complaints about the autograder in the forums -> nothing happens) you will not. Check out Scala courses approach with grading -> works like a charm. Cheers, JJ"
2698,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The content is generally great and well worth it. I wish they would fix 
some of the errors, especially in ungraded exercises. You end up wasting
 a lot of time because of them. Perhaps the most frustrating aspect is 
navigating to the Jupyter notebooks. I wish the links to the notebooks 
were on the same pages as the Submission and Discussion links."
2699,Filled Star:Filled Star:Filled Star:Filled Star:Star:,I learned a lot. I would give 5 starts but the jupyter notebooks were very very buggy.  I spent half of my time on the homework going through the forums to find workarounds.  It took away from learning the material efficiently.  
2700,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The course is very interesting and it gives an insight into recurrent neural networks (RNN). The practical exercises are interesting but I found them in a bit raw state compared to the previous courses of the Deep Learning Specialization. Nevertheless I would still highly recommend to follow this course. Thanks a lot to organizers. 
2701,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Everything seems logical, except the programming assignments. Although I went through week 1 programming assignments only, I often had to face some problems with insufficient information. Lecture videos are easy to understand, but not all the details are explained. (This is the point where I need to find some information by hand.)"
2702,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"As a non-computer science background student, the course was overwhelming, I got lost in the equations most of the time. Maybe a lower level course could be considered before starting this one. Nevertheless, this was an informative course about sequence models. Lots of quizzes and programming assignments reinforced my learning."
2703,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Videos are great; but as usual TP are too guided (hence boring) and do not use today frameworks (Pytorch, tensorflow 2). TPs should either be completely coded by candidates (only introduction + resfresh on concepts + objectives) with evaluation on final accuracy/f1 score <or> they should be no TPs at all and more MCQ tests "
2704,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Content her is great - the first week covers the basic RNN models in a very clear way and the assignments are interactive and interesting, building on the explanations in lectures. One downsides is that the production quality is poor and would benefit from some re-recording to remove bloopers and make it smoother to watch."
2705,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"I wish it was a bit more interesting. It also kinda feels like Andrew has a bit of a problem himself in understanding the paradigms stated in this course, and that makes me feel somewhat confused as well. Would recommend for the math, the notations are weird and confusing sometimes but it is understandable for most parts."
2706,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This is a very interesting course with good explanations, which give a brief but sufficient introduction to sequential models like GRU and LSTM. One star is dropped because the CNN course (#4) is still better than this one in terms of explanations, while course #2 is better in terms of relevant material and pace (to me). "
2707,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Although I really really really love this series and although I always gave 5 stars, I think the quality of this last module is a lot less better than the previous ones. I think convolution was way more difficult but the explanation was awesome. Unfortunately, i think explanations in this module are a little sloppy. "
2708,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"As usual, Andrew Ng's stellar talent as an educator shines through. Unfortunately, some of the video editing is a little scrappy, and the assignments could use some more polish. Especially in areas where they catch quirks in the grader. Luckily the forum support is excellent. This course is definitely worth doing. "
2709,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Overall nice course, learned a lot about NLP and Speech to text. Course is more oriented towards NLP applications, I was also hoping to learn more about time series analysis. Feel like the course could have been longer 4-5 weeks since RNN, LSTM and GRU is pretty long topic and 3 weeks seems to be too short for it. "
2710,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Recomiendo ampliamente este curso, te proporciona un claro entendimiento de los modelos secuenciales y recurrentes. Es excelente, aunque a diferencia de otros cursos de esta especialización no explicaron en detalle algunos aspectos de las RNN, me hubiese gustado que profundizaran un poco más en backpropagation."
2711,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The RNN, LSTM< and GRU were very good. But the Week 3seemed a bit abstract. More could have been covered in Audio, Attention."
2712,Filled Star:Filled Star:Filled Star:Filled Star:Star:,This course provided a nice high level overview of RNN models and associated Keras implementations. The tricks and tips given were a useful addition to my ML arsenal. The only thing that I feel discredits this course is that the programming assignments are easy to gloss over and pass without much engagement. 
2713,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Great introduction to RNNs and how to implement them in keras.  I suspect it is a relatively new course as there are still typos and a few errors in the assignments (otherwise I would have given 5 stars) but the forums help you to find your way around them and hopefully in future versions they will be fixed.
2714,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Excellent lectures, some part was difficult and it took time for me to imagine the content of each parameter (e.g. when we talk about X, or a, or Waa what is the size of them and what do they represent). But in the exercises, it became more understandable. Exercises need previous knowledge of Keras and OOP."
2715,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"It is a fabulous course content-wise. However, I personally find the programming exercises overly easy (the instructors already build the framework for you and the only thing you need to do is to fill in the blanks),  s.t. I'm still not able to build an RNN from scratch after completing all those exercises."
2716,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This course is good. It introduces the concepts regarding recurrent models. I specially like the attention model videos. In general, the exercises are well written. However, I'm not very familiar with Keras and working on the Keras code really takes my time even I'm quite experienced with Tensorflow."
2717,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Professor Ng did a good job explaining sequence model and I finally understand the basic theories. However, there is room to improve especially on the Keras library part. I hope you can add some simple tutorial for that. Also, I still don't understand how to translate the architecture to Keras code."
2718,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This is a very well structured course. I initially started this course almost 10 months ago but got distracted and started to learn sequence models on my own. But, at the end end I resorted to this course again and got my basics cleared out. Thanks to deeplearning.ai team for designing this course!"
2719,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great explanations on the videos, and well designed programming exercises. However, the complexity of the programming tasks is not well dimensioned (1h - 1:30 h may be too little). Worse, some of the exercises are not well explained, with misleading information (e.g. about model tensor dimensions)."
2720,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"this is a well structured course, but it is not for beginners at all, andrew ng had put alot of his efforts in this. As a computer science major, I was able to grasp the maths concepts but for anyone comming from diffrent background its far from possible to understand all the theoratical concepts."
2721,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"There was not enough theory as the first three courses. Some explanations were superficial and difficult to understand. Maybe drawing the shape of the inputs, outputs, and other matrices in lectures would help to better visualize what's going on inside the networks. Overall, it was a great course."
2722,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Much more challenging than the other courses in the DL specialisation. It forced me to delve a little deeper into the topic in order to overcome obstacles in the assignments. Content-wise, it's a great introduction to DL for NLP. Professor Ng's explanations are perfect."
2723,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The course itself is cutting-edge, so a 5-star for this."
2724,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"In general, about all the specialization, I think that some of the programming assigments could be more didactive to understand the concepts of the courses and not to find what the code is doing in that specific task. For all the others aspects of the course I think it's perfect for a litlle bit more than an introduction."
2725,Filled Star:Filled Star:Filled Star:Filled Star:Star:,It's a good intro to RNNs (LSTMS and GRU).  Very interesting use cases for RNNs. I feel that there could have been more room to try more programming exercises for different use cases & RNN architectures. Be aware that Keras is very sensitive to changes and you will find yourself reloading the jupyter kernels repeateadly when you get stuck. This is not a problem of the course itself but it is something that could end up wasting a lot of your time chasing problems when your code actually should work.  
2726,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The lecture videos are great. Andrew is a great teacher in teaching concepts at the most intuitive level. By the time I finished the course, I had sufficient knowledge to be able to read and understand the paper. "
2727,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Another great course by Andrew Ng! This course is part of the CS230 class currently being taught at Stanford University. Only reason for 4 rather than 5 stars is that at this stage (April 2018), there are few knowledgeable mentors and virtually no Instructors present in the Forum. Course provides little introduction to the syntax of Keras, which makes for some problems implementing models. Therefore one might spend a lot of time spinning one's wheels until finding a way forward."
2728,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This last course is the most difficult challenge in the entire specialization, I personally have to watch back the video lectures many times. But I appreciate Andrew's efforts in transmitting knowledge in the most possibly understandable way.
In the assignment section, I found it necessary to have advanced experience in Python to be able to comprehend. Even if you have completed all the exercises, I believe most of you would only understand about 30-40% what you were doing."
2729,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"As with all the 5 courses in the Deep Learning Specialization, the video lectures were amazing, thoughtfully designed (and separated) and gave an understandable overview of the content. As for the programming assignements, some lack a clear description of what is to do - that mostly concerns single steps withing a sub-task though. Tensorflow and Keras need a considerable amount of self-study next to the lectures to truly understand what you are doing there."
2730,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"NLP is definitely my favorite application of DL. This course was fun, although W4's assignment was quite confusing. Maybe it'd be nice to clarify that though the labs are ungraded, they'll help the learner deepen understanding of concepts and to explicitely recommend that they're completed before the assignment, so overall learning process becomes smoother. "
2731,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Theoretical knowledge gained during this course is good, for beginners in this area they learn what can be done and how. Only minus is practical assignements which are too straightforward, it's helpfull to have guide what to do, but maybe some assignement which doesn't have too much of a guide could be good (not necessarily the one which is graded but something which makes you to think a little bit more rather than follow the tips and writing Python code)."
2732,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"I enjoyed this course very much. The videos were very informative covering a lot of ground in RNNs. I also enjoyed the assignments which covered both implementation of RNNs from scratch to get a good feel for it, and practical implementations. I was a bit disappointed about NLP section as it brushed over word embedding and left me without much understanding on how they are estimated. I would also like to have seen time-series covered in this course."
2733,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"I loved all of the courses in the specialization. However, last two (sequence models and convolutional NNs) had in my opinion poor exercises, not well described, or emphasizing the parts which are not that important, omitting at the same time more important topics. For example the last exercise with spectogram was mainly focused on preparing the data rather than explaining/practicing algorithms. All in all, I gave 4/5 which is still very good grade. "
2734,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"I dont understand why notebooks are become unavailable when I am working on it. It says method not allowed and then please login through www.coursera.org. Then I had to run all the cells again. I think this is because of the lack of resources like # of servers available. Other than that, like the content of the programming assignments. Especially the trigger word detection algorithm worked perfect with my own voice, that was satisfying of course."
2734,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The course covers one of the most influential developments in deep learning in recent times, and does so in a thorough way, introducing majority of the relevant mathematics and methods necessary to build a variety of sequence models."
2735,Filled Star:Filled Star:Filled Star:Filled Star:Star:,This course is a great introduction to sequence models and a great way of finishing the specialization. All main areas were covered. It is a good entry point for those who want to keep improving their sequence-models skills. 
2736,Filled Star:Filled Star:Filled Star:Filled Star:Star:,I got an overview of how people use this technology but the whole network architecture and especially dimensioning remains to be somewhat of a black art. 
2737,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Awesome course.  It feels like this one was more rushed than the others in the Specialization.  I am a bit concerned whether the ""Specialization"" has become a ""Survey"" of the course, and leans heavily on the assignments for teaching..but then, could do more for why some architectures are the way they are.  The assignments improved from being a spoon-feeding exercise. That's good.  But, on the other side, Keras documentation was confusing."
2738,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The 5th course materials were not as solid as the previous 4 courses. Mainly due to heavily use of Keras API and lack of Numpy implementation. There is nothing to complain about indeed as for the same amount of content the 5th courses had covered, implementing on Numpy will take way longer. Maybe adding more explanation on how the Keras API work will help a tons. Overall it is a very good course that I would recommend anyone to enroll."
2739,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The course is really good if you want to get a good understanding on the basics of deep learning. It would have been great if the course had more hand's on assignments than fill in the blanks kind of assignments in ipython notebook. 
2740,Filled Star:Filled Star:Filled Star:Filled Star:Star:,I learnt a lot from this course and the whole specialization. I am grateful to the mentors and instructors. If coursera gives me opportunity I can also be mentor for the specialization to help the newcomers through the assignments. 
2741,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"During the first week, I think that a deeper explanation of the matrices' dimensions throughout the NNs should be given. Indeed, this would be helpful to understand some concepts."
2742,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The course was good except first week. I did not learn as much as I would like from the programming exercises of week 1. It could be nice to have 4 weeks instead of 3 for this course. Taking more time to cover the week 1 material.
2743,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Excellent series of courses! Loved the lectures and thoroughly enjoyed the exercises! A big thanks to Andrew Ng and all the instructors and mentors. The forums provided useful hints on the couple of occasions I was stuck. While I would have initially suggested providing more info on Keras APIs, in hindsite the additional time spent in searching Keras documentation was useful arriving at better understanding of the infrastructure."
2744,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The Literature for RNN's was not motivating enough compared to Convolutional Networks and the previous courses. However, Andrew did concentrate on the important aspects which would help us in building RNN ourselves. I did feel the assignments were not as elaborative and extensive as the CNN's but I understand the idea behind it (being just to make users aware of the skeleton of the model instead of doing everything from scratch). "
2745,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This one is much better then the previous one - Coursera team definitely made their homework. However some theoretical blank-spaces are still left. For instance - nothing is said about how recursive gates are being updated during BPTT backward pass. For someone who has the some experience and read some other sources that is not a big deal, but for a complete first-timer who pays attention and uses his brain - this is a pure flaw."
2746,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Everything is perfect, the teaching is excellent, the only problem is the jupyter notebook, its sometimes difficult to debug issues and takes a lot of time and is kind of vague as well in terms of application of the lectures."
2747,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Thanks to Andrew Ng and his amazing team, this course challenged my fundamental knowledge of Tensorflow and ML algorithms in the most useful way. However, I expected more applying libraries to design the NLP recent products. "
2748,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"some topics not explained in detail. Not enough examples to understand some models completely. As an example, I didn't fully understand what are the parameters for the models, their shapes, and how they are used in the model"
2749,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Great course! But I find the transformer assignment bit difficult. I think if the implementation would be covered in a 10-15 minutes video it would be a lot more easier to understand. Thank you for the great specialisation!
2750,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Overall it was pretty informational on introducing NLP to me. However, Keras was a little bit frustrating to learn at the beginning. I found out the forum was a very good resource to learn Keras syntax whenever I was stuck."
2751,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great course! I do feel like I'm just scratching the surface of the types of applications that I can make. I think the coding segments still hold our hands a little too much, but you can't beat the clarity of the lectures. "
2752,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The course lecture is grade but I hope the assignment is better in guiding structure, something the explanation is hard to follow, and the assignment should include the transfer learning instead of using the trained model."
2753,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Very interesting application of deep learning. Gives a good overview. Assignments are fun, yet it's too easy to complete the assignments without understanding the big picture. I found the ""attitude"" assignment in week 3 a bit difficult to grasp however. Particularly liked the dinosaur names, emojify, the humour and positivity in the course: mentioning gender/racial bias, encouraging people to do good with their skills. Namaste!"
2754,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Very good overall. Andrew Ng explains the material clearly and accessibly.
2755,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"I thought the course and the specialization was great for people who want to get into the details of deep learning. Although I enjoyed learning about all the details, I wish there was a separate course specifically for Keras and TensorFlow. In practice, we will rarely have to implement the models from scratch, and having a better understanding of Keras and TensorFlow would be more helpful in terms of career prospects. "
2756,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This was hard to keep up with, maybe too hard. The assignments' difficulty also was on a different level then the lectures maybe there more time should be put into the lecture videos as it was the case for DNN and RNN."
2757,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The videos and programming exercises were very interesting and insightful. My only complain is some of notebooks for exercises include errors and it was just a time-wasting  task to find the ""trick"" to pass the grader."
2758,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The content is well captured and Andrew really helps build the required intuitions. But, the assignments are too guided. There is no room to struggle for solutions which often proves to be the main source of learning."
2759,Filled Star:Filled Star:Filled Star:Filled Star:Star:,I think the transformer programming exercise of this fifth course is not as good as the others. The methods we must implement are not clearly explained and the research on these really took me a huge amount of time.
2760,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The exercises are too short and too basic for this course specifically. The task is a great learning experience but there is not much one would struggle with in terms of difficulty as there is too much spoon feeding.
2761,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great video lectures, but practical assignments are a pain due to awful auto-grading system and programming expirience in Jupyter in general. Most of the time you'll be searching for an error that isn't really there."
2762,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Excellent course, excellent lecturer. Unfortunately some of the test data (week3/lab/trigger word detection/XY_dev/* CANNOT BE DOWNLOADED ... The programming lab sections are nice - sometime a bit too helped ... ;) "
2763,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Andrew has a very good video-lecture style.  
2764,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Presentation is amazing... Professor Ng always does fantastic job of communicating the material in a clear and easily understood way.
2766,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"It is better to talk more about bi-directional RNN and give assightment about it before week three and week four. Moreover, it is also better to give two more weeks to talk more about the material in week 3 and 4."
2767,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Programming exercises did show you quite a bit, but got complex enough that most of my time was spent reading and understanding the preamble than doing any programming. That being said it delivered on the promise."
2768,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Course content is really good! However, I found it quite difficult to truly understand deep learning algorithms. However, it provides good glimpse of of sequence models and intuitions behind various useful models."
2769,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great course and material, Andrew NG really know who to explain difficult subjects in an intuitive way. However, the course seems that it still needs some work (there are some bugs in the lectures and assignments)"
2770,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The lectures are suitable. Andrew, as always, is very clear and goes into necessary detail on each topic."
2771,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The NLP Section of this course is quite difficult to understand(The Notations are quite confusing as well as prior knowledge is required to understand) but other than that RNN, GRU, LTSM are explained clearly."
2771,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Very useful materials, but a little hard to digest. It will be more helpful if course lectures and slides can dive a little deeper into each model and provide more granular technical details."
2773,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Exercises are sometimes vague and can be done without full understanding of the material. No officially given notes. No reading material that explains the concepts more clearly and in detail.
2774,Filled Star:Filled Star:Filled Star:Filled Star:Star:,One of the best course i ever taken. glad to be part of such wonderful course teach by prof.andrew ng. learn a lot about sequence model and NLP. Highly Highly recommended for beginner in NLP 
2775,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great Course, very insightful excercises, really enjoyed it - unfortunately some issues with the programming excercises."
2776,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"the course content was really impressive, but some topics need to be explained in detail. Also working of LSTM should be further described in detail. Programming assignments are really fun."
2777,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"great course, lots of implementation details that are important were glossed over, while other areas had too much hw hand-holding + strict requirements on what the code needed to look like."
2778,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Very glad I took this course!  A little rough around the edges as far as video / assignment quality, but seeing that this is the very first run of this course, I know it will only improve."
2779,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The material was great. Some of the programming assignments ramped up in difficulty or lack of perfect execution. However, I still gained extremely valuable information from this course. "
2780,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The lecture for Sequence model was good motivation to get interesting about text and audio processing. All of lectures were very fundamental and intuitive. Thank you very much. Prof. Ng.
2781,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Very good and fun course in the sequence. However, it would be very nice if there were some examples of using RNN for things such as self driving etc, outside the realm of speech and NLP"
2782,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The course videos are very good. However the optional parts of assignments have lots of issues and errors. Please update the assignment to reduce the time wasted unnecessarily debugging.
2783,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Very interesting exercice and assignments from which a lot is to learn. Content quite complicated which will require from me to come back for review and deepen some points. Thank you !
2784,Filled Star:Filled Star:Filled Star:Filled Star:Star:,It was necessary to study extensively the Keras framework to fulfill the code tasks. I suggest an extra module with small simple RNN modeling exercises to better adapt the framework.
2785,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Overall, I really like this module. One possible improvement might be providing more information for backpropagation. Maybe as an optional video or just reading materials. Thank you."
2786,Filled Star:Filled Star:Filled Star:Filled Star:Star:,nice course even few chapters could be more detailled technically speaking. However the assignements are very nice and helps to complete the understanding. Many thanks for such work
2787,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Thank you Andrew Ng for making me comfortable with the deep learning topics on Sequential data...Assessments were interesting ..can be made to enable us better play with the models
2788,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Week 2 was wonderful to learn and understand. I wish to explore more on LSTM and Attention based models. Video lectures were not enough for me. Still I am happy for what I learnt.
2789,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Overall it is a good course. Much need to improve on the feedback of grading of which output is not really helping. Referring to global variables in assignments are really tricky.
2790,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Overall a very good course , i wish the model construction ( i.e. the rationale in stacking up the layers) is covered in bit more detail, otherwise an excellent course, no doubt."
2791,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The assignments can be made a little difficult. Can Include assignments of Image captioning, that would have been great. Overall a great course. Sir Andrew Ng, superb teaching!!"
2792,Filled Star:Filled Star:Filled Star:Filled Star:Star:,great course as always by andrew. would give it a 5/5 but had some sloppy mistakes regarding the formulas. overal impression : exceptional and highly recommended. thanks andrew!
2793,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Compared to the previous courses, this one was a little hard for me. Because Dr. Andrew tried to squeezed a bunch of information in this course. It's a wonderful course though."
2794,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Some of the assignments are very difficult to pass. I think I understand the concepts but the instructions for the assignments could be a lot clearer and provide more guidance.
2795,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The course is great. The assignment sessions are a little confusing. It would be good to show the complete codes for the test cases so that test errors can be easier to debug. 
2796,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"I did not feel like I got a super clear understanding on how to use various library functions in keras, I did gain a really good understanding of the underlying models though! "
2797,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Week1 lessons are a little complex than the previous classes and there are gaps between ground-up python version and keras version of LSTM model. Keras will need to be taught a bit more in detail to follow up. 
2798,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"This is by far the hardest course in the specialization. But it was explained well. My only complain is there were errors in the first programming exercise. All in all, I learned a lot in this specialization."
2799,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Great content! I really love Andrew's teaching style. (1 star deduction for some programming assignments where I spent time debugging but it turned out that the point deduction was due to the grading system.)
2800,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Overall course content is great but I feel like improvements can be made on the lab exercises to give students concrete understanding along with hands-on experience. A great job by the deeplearning.AI team.
2801,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The programming exercises are a little heavy in this course where we need to load and re-load for them to give correct output even if the code had been correct all throughout. Otherwise, the course is great."
2802,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"4 stars and not 5 stars because the course is shorter than the others and it feels like an exemple in classical forecasting is lacking (sales, time series...). "
2803,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"It's an excellent course! I will give it 5 stars if it could offer more interesting and meaningful assignments(Not offend, but it a little too easy and the assignments are not very related to the real work). "
2804,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The course should contain more explanation about natural language processing like tf-idf,lemmatization,stemming,dialog flow. Although i got a good explanation of working of RNNs,LSTM and machine translation"
2805,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Great course to start off with sequence model. The programming exercises were in depth and deliver a great learning experience. Would love to see more of sequence literature in the course's future versions.
2806,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Again a brilliant course from Andrew NG, but though and dense this time. In order to grasp the meanings videos and lectures need to be revised a few times. Also, get some extra info elsewhere does not hurt."
2807,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Excellent presentation, and interesting assignments. One star dropped because a couple of technical issues with the assignment material (typos in the mathematical formulas / expected results here and there)"
2808,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The contents are great as always.  However, the server is not reliable.  Once, the grader is down and you can't submit homework.  For another time, the connection is lost and all the changes made are lost."
2809,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Great course, but I felt the gap between the very high level lectures and very low level labs was a bit too wide. I had some issues with the autograder and losing progress in the notebook between sessions."
2810,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Great course. The only frustrating part are the programming assignments as it is very cumbersome to have to go thru the discussion forums to resolve issues. Tough to find helpful insights thru the forums. 
2811,Filled Star:Filled Star:Filled Star:Filled Star:Star:,Andrew Ng is perfect like everytime. I didn't have any issue with programming exercises unlike other comment so probably it fixed. I wish course  to be more detailed especially training word vectors part. 
2812,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"Very well produced and explained.  In my case, the nature of the Sequence Model makes understanding the concepts and finishing the assignment more challenging than other segments of the specialization."
2813,Filled Star:Filled Star:Filled Star:Filled Star:Star:,The course is very short when compared to first 3 courses in this series. It would have been better if more explanation and shorter assignments were provided in the initial weeks and increase the pace.
2814,Filled Star:Filled Star:Filled Star:Filled Star:Star:,"The previous courses raised the bar and expectations. The assignments for Week 1 and Week 2 were a bit unclear. Lectures for Week 1 and Week 2 can be improved as well. Besides, this is a great course!"
